Filename, Title, Author, Size
pg11.txt, Alice's Adventures in Wonderland, Lewis Carroll, 172K
pg1342.txt, Pride and Prejudice, Jane Austen, 712K
pg158.txt, Emma, Jane Austen, 908K
pg1661.txt, The Adventures of Sherlock Holmes, Arthur Conan Doyle, 592K
pg236.txt, The Jungle Book, Rudyard Kipling, 300K
pg2591.txt, Grimms' Fairy Tales, The Brothers Grimm, 548K
pg2701.txt, Moby Dick; or The Whale, Herman Melville, 1,3M
pg345.txt, Dracula, Bram Stoker, 872K
pg5200.txt, Metamorphosis, Franz Kafka, 148K
pg52247.txt, A Man from the North, Arnold Bennett, 328K
pg52257.txt, When Sarah Saved the Day, Elsie Singmaster, 144K
pg76.txt, Adventures of Huckleberry Finn, Complete, Mark Twain (Samuel Clemens), 604K
pg84.txt, Frankenstein, Mary Wollstonecraft (Godwin) Shelley, 448K
pg844.txt, The Importance of Being Earnest, Oscar Wilde, 148K
pg98.txt, A Tale of Two Cities, Charles Dickens, 784K
